month,day,year,temp[c]
8,1,1769,20.922
9,1,1769,15.865000000000002
10,1,1769,4.947999999999999
11,1,1769,0.9559999999999984
12,1,1769,-4.37
1,1,1770,-4.497
2,1,1770,-2.9389999999999996
3,1,1770,-2.2199999999999993
4,1,1770,10.589000000000002
5,1,1770,14.783000000000001
6,1,1770,18.607
7,1,1770,19.375
8,1,1770,19.338000000000005
9,1,1770,15.860000000000001
10,1,1770,9.983
11,1,1770,3.9739999999999993
12,1,1770,1.3369999999999986
1,1,1771,-1.7379999999999995
2,1,1771,-7.844
3,1,1771,-2.035
4,1,1771,5.972999999999998
5,1,1771,14.782
6,1,1771,20.694000000000003
7,1,1771,21.472000000000005
8,1,1771,21.101000000000006
9,1,1771,16.218
10,1,1771,10.162000000000003
11,1,1771,1.1469999999999994
12,1,1771,-1.524000000000001
1,1,1772,-4.242
2,1,1772,-4.771000000000001
3,1,1772,0.306999999999999
4,1,1772,9.641
5,1,1772,13.763000000000002
6,1,1772,19.421999999999997
7,1,1772,22.596
8,1,1772,21.552
9,1,1772,15.754
10,1,1772,10.057000000000002
11,1,1772,6.375000000000001
1,1,1773,-6.4239999999999995
2,1,1773,-4.316
3,1,1773,0.8650000000000012
4,1,1773,10.454
5,1,1773,18.288000000000004
6,1,1773,19.453
7,1,1773,22.107999999999997
8,1,1773,20.957
9,1,1773,17.256
10,1,1773,10.288
11,1,1773,1.7980000000000018
12,1,1773,1.355
1,1,1774,-6.404000000000001
2,1,1774,-1.6920000000000002
3,1,1774,2.391999999999999
4,1,1774,11.351000000000003
6,1,1774,22.569000000000003
7,1,1774,24.392999999999997
8,1,1774,21.588
9,1,1774,15.378
10,1,1774,8.458000000000002
11,1,1774,-1.6769999999999996
12,1,1774,-4.201000000000001
1,1,1775,-3.524
2,1,1775,-0.2970000000000006
3,1,1775,4.256000000000001
4,1,1775,7.628000000000002
5,1,1775,14.793000000000001
6,1,1775,19.735
7,1,1775,22.805000000000003
8,1,1775,23.112999999999996
9,1,1775,16.777
10,1,1775,11.284
11,1,1775,4.803999999999999
12,1,1775,-2.608000000000001
1,1,1776,-8.728
2,1,1776,-0.5340000000000009
3,1,1776,1.7660000000000016
4,1,1776,7.703000000000001
5,1,1776,14.810999999999998
6,1,1776,20.671999999999997
7,1,1776,22.025
8,1,1776,21.869
9,1,1776,14.976
10,1,1776,7.677000000000002
11,1,1776,2.215000000000001
12,1,1776,-1.0199999999999991
1,1,1777,-2.412
2,1,1777,-3.0450000000000013
3,1,1777,1.3850000000000011
4,1,1777,5.972999999999998
5,1,1777,16.429000000000002
6,1,1777,19.435000000000002
7,1,1777,20.265000000000004
8,1,1777,19.918000000000003
9,1,1777,14.487
10,1,1777,6.888000000000002
11,1,1777,3.5339999999999985
12,1,1777,-0.8799999999999998
1,1,1778,-2.791000000000001
2,1,1778,-2.2409999999999997
3,1,1778,1.6199999999999983
4,1,1778,11.820000000000002
5,1,1778,16.068
6,1,1778,18.993
7,1,1778,22.817
8,1,1778,20.432000000000006
9,1,1778,16.522000000000002
10,1,1778,8.007
12,1,1778,-0.5030000000000001
1,1,1779,-6.002999999999999
2,1,1779,-0.44600000000000073
3,1,1779,3.4750000000000014
4,1,1779,10.706999999999999
5,1,1779,18.511000000000003
6,1,1779,18.54
7,1,1779,20.100000000000005
8,1,1779,20.773999999999997
9,1,1779,16.343
10,1,1779,9.420000000000002
11,1,1779,4.082
12,1,1779,0.4910000000000005
1,1,1780,-5.426
2,1,1780,-4.614999999999999
3,1,1780,3.612000000000002
4,1,1780,10.877999999999998
5,1,1780,17.791999999999998
6,1,1780,19.826999999999998
7,1,1780,22.604999999999997
8,1,1780,19.357000000000003
9,1,1780,13.188
10,1,1780,10.011
11,1,1780,4.5649999999999995
12,1,1780,-4.152000000000001
1,1,1781,-4.724
2,1,1781,-4.145
3,1,1781,1.2269999999999983
4,1,1781,8.240999999999998
6,1,1781,19.543000000000003
7,1,1781,22.421
8,1,1781,23.648000000000003
9,1,1781,16.837000000000003
10,1,1781,7.933999999999999
11,1,1781,5.749
12,1,1781,-3.3929999999999993
1,1,1782,-4.404
2,1,1782,-7.926
3,1,1782,0.647
4,1,1782,8.74
5,1,1782,15.775000000000002
6,1,1782,19.525
7,1,1782,22.478000000000005
8,1,1782,22.014999999999997
9,1,1782,15.941000000000003
10,1,1782,9.26
11,1,1782,2.274000000000002
12,1,1782,-4.282
1,1,1783,-7.015999999999999
2,1,1783,0.14900000000000013
3,1,1783,1.1049999999999984
4,1,1783,8.259
5,1,1783,18.149
6,1,1783,22.158
7,1,1783,20.734
8,1,1783,22.355000000000004
9,1,1783,15.788
10,1,1783,8.870999999999999
11,1,1783,0.001999999999999286
12,1,1783,-4.711
1,1,1784,-5.094
2,1,1784,-5.291000000000001
3,1,1784,0.8199999999999995
4,1,1784,8.834000000000001
5,1,1784,14.783000000000001
6,1,1784,19.738999999999997
7,1,1784,22.380000000000006
8,1,1784,24.057
9,1,1784,15.471
10,1,1784,6.973000000000001
11,1,1784,3.1729999999999987
12,1,1784,-0.8699999999999994
1,1,1785,-5.781999999999999
2,1,1785,-4.8919999999999995
3,1,1785,-4.515
4,1,1785,6.612000000000001
5,1,1785,14.473999999999998
6,1,1785,19.256999999999998
7,1,1785,21.334000000000003
8,1,1785,21.545000000000005
9,1,1785,15.403
10,1,1785,7.149999999999999
11,1,1785,4.1530000000000005
12,1,1785,-3.7270000000000003
1,1,1786,-5.262
2,1,1786,-4.93
3,1,1786,2.3440000000000003
4,1,1786,10.264999999999999
5,1,1786,14.471000000000002
6,1,1786,19.287
7,1,1786,22.311000000000003
8,1,1786,21.227000000000004
9,1,1786,16.560000000000002
10,1,1786,6.781000000000002
11,1,1786,-0.08299999999999999
12,1,1786,-4.2410000000000005
1,1,1787,-3.919000000000001
2,1,1787,-3.0549999999999993
3,1,1787,1.8819999999999995
4,1,1787,7.613000000000001
5,1,1787,15.945
6,1,1787,21.128
7,1,1787,21.579000000000004
8,1,1787,21.25
9,1,1787,13.984
10,1,1787,9.092
11,1,1787,3.6909999999999994
12,1,1787,-1.427
1,1,1788,-4.531999999999999
2,1,1788,-3.1109999999999993
3,1,1788,2.152000000000002
4,1,1788,7.918000000000001
5,1,1788,14.969000000000001
6,1,1788,21.160999999999998
7,1,1788,24.947000000000003
8,1,1788,20.297
9,1,1788,16.733
10,1,1788,8.828
11,1,1788,2.2510000000000003
12,1,1788,-9.253
2,1,1789,-3.441
3,1,1789,-1.1689999999999994
4,1,1789,8.519000000000002
5,1,1789,18.352000000000004
6,1,1789,19.532000000000004
7,1,1789,23.884000000000004
8,1,1789,21.379000000000005
9,1,1789,17.07
10,1,1789,9.298000000000002
11,1,1789,4.315000000000002
12,1,1789,-0.9990000000000008
1,1,1790,-3.8399999999999994
2,1,1790,-1.7630000000000006
3,1,1790,1.311
4,1,1790,6.282999999999999
5,1,1790,14.944
6,1,1790,20.855
7,1,1790,20.953000000000003
8,1,1790,20.601000000000003
9,1,1790,15.359
10,1,1790,8.325
11,1,1790,2.5039999999999987
12,1,1790,0.9349999999999999
1,1,1791,-0.8639999999999997
2,1,1791,-1.4160000000000001
3,1,1791,2.325999999999999
4,1,1791,10.533000000000001
5,1,1791,14.443
6,1,1791,19.871
7,1,1791,21.436
8,1,1791,21.838000000000005
9,1,1791,14.861
10,1,1791,8.492999999999999
11,1,1791,3.7850000000000015
12,1,1791,0.531000000000002
1,1,1792,-5.293
2,1,1792,-3.593000000000001
3,1,1792,0.7400000000000004
4,1,1792,8.250000000000002
5,1,1792,15.315000000000001
6,1,1792,20.690000000000005
7,1,1792,22.820999999999998
8,1,1792,20.256000000000004
9,1,1792,17.386000000000003
10,1,1792,7.388000000000001
11,1,1792,1.6970000000000005
12,1,1792,-1.1859999999999993
1,1,1793,-6.631
2,1,1793,-0.5279999999999991
3,1,1793,0.4430000000000018
4,1,1793,7.750000000000002
5,1,1793,15.08
6,1,1793,19.786
7,1,1793,22.878999999999998
8,1,1793,20.766
9,1,1793,15.625
10,1,1793,9.298000000000002
11,1,1793,3.961000000000002
12,1,1793,-2.326000000000001
1,1,1794,-1.5650000000000002
2,1,1794,-1.5949999999999993
3,1,1794,2.830000000000001
4,1,1794,10.671
5,1,1794,17.96
6,1,1794,20.153000000000002
7,1,1794,22.154000000000003
8,1,1794,20.287
9,1,1794,14.769000000000002
10,1,1794,9.27
11,1,1794,2.952000000000001
12,1,1794,-3.792000000000001
1,1,1795,-7.416
